"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"Olney Central College","Olney","IL",1,2,1
"Illinois Institute of Technology","Chicago","IL",2,4,3
"Illinois State University","Normal","IL",1,4,3
"Illinois Valley Community College","Oglesby","IL",1,2,1
"Institute for Clinical Social Work","Chicago","IL",2,4,4
"John A Logan College","Carterville","IL",1,2,2
"John Wood Community College","Quincy","IL",1,2,2
"Joliet Junior College","Joliet","IL",1,2,1
"Judson University","Elgin","IL",2,4,3
"Kankakee Community College","Kankakee","IL",1,2,1
"Kaskaskia College","Centralia","IL",1,2,1
"Kishwaukee College","Malta","IL",1,2,1
"Knox College","Galesburg","IL",2,3,3
"Educators of Beauty College of Cosmetology-Peru","PERU","IL",3,1,1
"College of Lake County","Grayslake","IL",1,2,1
"Lake Forest College","Lake Forest","IL",2,4,3
"Lake Forest Graduate School of Management","Lake Forest","IL",2,4,4
"Lake Land College","Mattoon","IL",1,2,1
"Lakeview College of Nursing","Danville","IL",2,3,3
"Lewis and Clark Community College","Godfrey","IL",1,2,1
"Lewis University","Romeoville","IL",2,4,3
"Lincoln Christian University","Lincoln","IL",2,4,3
"Lincoln Land Community College","Springfield","IL",1,2,1
"Lincoln College of Technology-Melrose Park","Melrose Park","IL",3,2,1
"Loyola University Chicago","Chicago","IL",2,4,3
"Lutheran School of Theology at Chicago","Chicago","IL",2,4,4
"Trinity College of Nursing & Health Sciences","Rock Island","IL",2,4,3
"Steven Papageorge Hair Academy","Chicago","IL",3,1,1
"Generations College","Chicago","IL",2,2,2
"McCormick Theological Seminary","Chicago","IL",2,4,4
"McHenry County College","Crystal Lake","IL",1,2,1
"McKendree University","Lebanon","IL",2,4,3
"Meadville Theological School of Lombard College","Chicago","IL",2,4,4
"Methodist College","Peoria","IL",2,4,3
"Millikin University","Decatur","IL",2,4,3
"Monmouth College","Monmouth","IL",2,3,3
"Moody Bible Institute","Chicago","IL",2,4,3
"Moraine Valley Community College","Palos Hills","IL",1,2,1
"Morrison Institute of Technology","Morrison","IL",2,2,2
"Morton College","Cicero","IL",1,2,2
"National Louis University","Chicago","IL",2,4,3
"National University of Health Sciences","Lombard","IL",2,4,3
"Cosmetology Concepts Niles","Niles","IL",3,1,1
"North Central College","Naperville","IL",2,4,3
"North Park University","Chicago","IL",2,4,3
"Northern Baptist Theological Seminary","Lisle","IL",2,4,4
"Northern Illinois University","Dekalb","IL",1,4,3
"Northwestern University","Evanston","IL",2,4,3
"Northeastern Illinois University","Chicago","IL",1,4,3
"Oakton College","Des Plaines","IL",1,2,1
"Oehrlein School of Cosmetology","East Peoria","IL",3,1,1
"Olivet Nazarene University","Bourbonnais","IL",2,4,3
"Parkland College","Champaign","IL",1,2,1
"Prairie State College","Chicago Heights","IL",1,2,1
"Principia College","Elsah","IL",2,3,3
"Professional's Choice Hair Design Academy","Joliet","IL",3,1,1
"Quincy University","Quincy","IL",2,4,3
"Rend Lake College","Ina","IL",1,2,1
"Richland Community College","Decatur","IL",1,2,1
"Rock Valley College","Rockford","IL",1,2,2
"Rockford University","Rockford","IL",2,4,3
"Roosevelt University","Chicago","IL",2,4,3
"Dominican University","River Forest","IL",2,4,3
"Rush University","Chicago","IL",2,4,3
"Saint Francis Medical Center College of Nursing","Peoria","IL",2,4,3
"University of St Francis","Joliet","IL",2,4,3
"St. John's College-Department of Nursing","Springfield","IL",2,3,3
"Saint Xavier University","Chicago","IL",2,4,3
"University of Illinois Springfield","Springfield","IL",1,4,3
"Sauk Valley Community College","Dixon","IL",1,2,1
"Shawnee Community College","Ullin","IL",1,2,1
"St. Augustine College","Chicago","IL",2,3,2
"University of Saint Mary of the Lake","Mundelein","IL",2,4,4
"Southeastern Illinois College","Harrisburg","IL",1,2,1
"National Latino Education Institute","Chicago","IL",2,0,1
"Spertus College","Chicago","IL",2,4,4
"Spoon River College","Canton","IL",1,2,1
"Saint Anthony College of Nursing","Rockford","IL",2,4,3
"Educators of Beauty College of Cosmetology-Sterling","Sterling","IL",3,1,1
"Southern Illinois University-Carbondale","Carbondale","IL",1,4,3
"Southern Illinois University-Edwardsville","Edwardsville","IL",1,4,3
"Taylor Business Institute","Chicago","IL",3,2,2
"Telshe Yeshiva-Chicago","Chicago","IL",2,4,3
"South Suburban College","South Holland","IL",1,2,2
"Trinity Christian College","Palos Heights","IL",2,4,3
"Trinity International University-Illinois","Deerfield","IL",2,4,3
"Triton College","River Grove","IL",1,2,2
"University of Spa & Cosmetology Arts","Springfield","IL",3,1,1
"VanderCook College of Music","Chicago","IL",2,4,3
"Waubonsee Community College","Sugar Grove","IL",1,2,2
"Western Illinois University","Macomb","IL",1,4,3
"Wheaton College","Wheaton","IL",2,4,3
"William Rainey Harper College","Palatine","IL",1,2,1
"Anderson University","Anderson","IN",2,4,3
"Ball State University","Muncie","IN",1,4,3
"Bethel University","Mishawaka","IN",2,4,3
"Butler University","Indianapolis","IN",2,4,3
"Calumet College of Saint Joseph","Whiting","IN",2,4,3
"Christian Theological Seminary","Indianapolis","IN",2,4,4
"College of Court Reporting Inc","Valparaiso","IN",3,2,2
"Concordia Theological Seminary","Fort Wayne","IN",2,4,4
"Tricoci University of Beauty Culture-Highland","Highland","IN",3,1,1
"DePauw University","Greencastle","IN",2,3,3
"Don Roberts School of Hair Design","Schererville","IN",3,1,1
"Earlham College","Richmond","IN",2,4,3
"University of Evansville","Evansville","IN",2,4,3
"Franklin College","Franklin","IN",2,4,3
"Goshen College","Goshen","IN",2,4,3
"Grace College and Theological Seminary","Winona Lake","IN",2,4,3
"Hanover College","Hanover","IN",2,4,3
"J Michael Harrold Beauty Academy","Terre Haute","IN",3,1,1
"Holy Cross College","Notre Dame","IN",2,3,3
"PJ's College of Cosmetology-Clarksville","Clarksville","IN",3,1,1
"Huntington University","Huntington","IN",2,4,3
"Ivy Tech Community College","Indianapolis","IN",1,2,1
"Purdue University Fort Wayne","Fort Wayne","IN",1,4,3
"Indiana University-Indianapolis","Indianapolis","IN",1,4,3
"University of Indianapolis","Indianapolis","IN",2,4,3
"Indiana Institute of Technology","Fort Wayne","IN",2,4,3
"University of Southern Indiana","Evansville","IN",1,4,3
"Indiana State University","Terre Haute","IN",1,4,3
"Indiana University-Kokomo","Kokomo","IN",1,4,3
"Indiana University-South Bend","South Bend","IN",1,4,3
"Indiana University-Bloomington","Bloomington","IN",1,4,3
"Indiana University-Northwest","Gary","IN",1,4,3
"Indiana University-Southeast","New Albany","IN",1,4,3
"Indiana University-East","Richmond","IN",1,4,3
"International Business College-Indianapolis","Indianapolis","IN",3,2,2
"Taylor Institute of Cosmetology II","Knox","IN",3,1,1
"Tricoci University of Beauty Culture-Lafayette","Lafayette","IN",3,1,1
"Lincoln College of Technology-Indianapolis","Indianapolis","IN",3,2,1
"Manchester University","North Manchester","IN",2,4,3
"Marian University","Indianapolis","IN",2,4,3
"Indiana Wesleyan University-Marion","Marion","IN",2,4,3
"Martin University","Indianapolis","IN",2,4,3
"Anabaptist Mennonite Biblical Seminary","Elkhart","IN",2,4,4
"Mid-America College of Funeral Service","Jeffersonville","IN",2,3,2
"West Michigan College of Barbering and Beauty","Kalamazoo","MI",3,1,1
"University of Notre Dame","Notre Dame","IN",2,4,3
"Oakland City University","Oakland City","IN",2,4,3
"PJ's College of Cosmetology-Richmond","Richmond","IN",3,1,1
"Ravenscroft Beauty College","Fort Wayne","IN",3,1,1
"Rogers Academy of Hair Design","Evansville","IN",3,1,1
"Rose-Hulman Institute of Technology","Terre Haute","IN",2,4,3
"University of Saint Francis-Fort Wayne","Fort Wayne","IN",2,4,3
"Saint Mary-of-the-Woods College","Saint Mary of the Woods","IN",2,4,3
"Saint Mary's College","Notre Dame","IN",2,4,3
"Saint Meinrad School of Theology","St. Meinrad","IN",2,4,4
"Saint Elizabeth School of Nursing","Lafayette","IN",2,1,1
"Taylor University","Upland","IN",2,4,3
"Trine University","Angola","IN",2,4,3
"Valparaiso University","Valparaiso","IN",2,4,3
"Vincennes Beauty College","Vincennes","IN",3,1,1
"Vincennes University","Vincennes","IN",1,3,2
"Wabash College","Crawfordsville","IN",2,3,3
"Allen College","Waterloo","IA",2,4,3
"Briar Cliff University","Sioux City","IA",2,4,3
"Buena Vista University","Storm Lake","IA",2,4,3
"Capri College-Dubuque","Dubuque","IA",3,1,1
"Capri College-Cedar Rapids","Cedar Rapids","IA",3,1,1
"Central College","Pella","IA",2,3,3
"Clarke University","Dubuque","IA",2,4,3
"Coe College","Cedar Rapids","IA",2,3,3
"Cornell College","Mount Vernon","IA",2,4,3
"Des Moines Area Community College","Ankeny","IA",1,2,1
"Divine Word College","Epworth","IA",2,3,3
"Dordt University","Sioux Center","IA",2,4,3
"Drake University","Des Moines","IA",2,4,3
"University of Dubuque","Dubuque","IA",2,4,3
"Ellsworth Community College","Iowa Falls","IA",1,2,2
"Emmaus Bible College","Dubuque","IA",2,3,1
"Eastern Iowa Community College District","Davenport","IA",1,2,2
"Faith Baptist Bible College and Theological Seminary","Ankeny","IA",2,4,3
"Graceland University-Lamoni","Lamoni","IA",2,4,3
"Grand View University","Des Moines","IA",2,4,3
"Grinnell College","Grinnell","IA",2,3,3
"Orion Technical College","Davenport","IA",3,3,1
"Hawkeye Community College","Waterloo","IA",1,2,2
"American Hair Academy","Mt. Pleasant","IA",3,1,1
"Indian Hills Community College","Ottumwa","IA",1,2,2
"Iowa Central Community College","Fort Dodge","IA",1,2,2
"Iowa Lakes Community College","Estherville","IA",1,2,2
"UnityPoint Health-Des Moines School of Radiologic Technology","Des Moines","IA",2,1,1
"Iowa School of Beauty-Des Moines","Des Moines","IA",3,1,1
"Iowa State University","Ames","IA",1,4,3
"Iowa Western Community College","Council Bluffs","IA",1,2,2
"University of Iowa","Iowa City","IA",1,4,3
"Kirkwood Community College","Cedar Rapids","IA",1,2,2
"La James International College-Cedar Falls","Cedar Falls","IA",3,1,1
"La James International College-Johnston","Johnston","IA",3,1,1
"La James College of Hairstyling and Cosmetology","Mason City","IA",3,1,1
"La James International College-Ft Dodge","Fort Dodge","IA",3,1,1
"Loras College","Dubuque","IA",2,4,3
"Luther College","Decorah","IA",2,3,3
"Maharishi International University","Fairfield","IA",2,4,3
"Marshalltown Community College","Marshalltown","IA",1,2,1
"Mercy College of Health Sciences","Des Moines","IA",2,3,3
"Morningside University","Sioux City","IA",2,4,3
"Mount Mercy University","Cedar Rapids","IA",2,4,3
"Ashford University","San Diego","CA",3,4,3
"North Iowa Area Community College","Mason City","IA",1,2,2
"University of Northern Iowa","Cedar Falls","IA",1,4,3
"Northwestern College","Orange City","IA",2,4,3
"Northeast Iowa Community College","Calmar","IA",1,2,2
"Northwest Iowa Community College","Sheldon","IA",1,2,2
"Des Moines University-Osteopathic Medical Center","West Des Moines","IA",2,4,4
"Palmer College of Chiropractic","Davenport","IA",2,4,3
"PCI Academy-Ames","Ames","IA",3,1,1
"Saint Ambrose University","Davenport","IA",2,4,3
"St Luke's College","Sioux City","IA",2,3,2
"La James International College-Davenport","Davenport","IA",3,1,1
"Simpson College","Indianola","IA",2,4,3
"Southeastern Community College","West Burlington","IA",1,2,1
"Southwestern Community College","Creston","IA",1,2,2
"Capri College-Davenport","Davenport","IA",3,1,1
"Iowa School of Beauty-Sioux City","Sioux City","IA",3,1,1
"SOHO Hair Academy","Council Bluffs","IA",3,1,1
"Upper Iowa University","Fayette","IA",2,4,3
"Waldorf University","Forest City","IA",3,4,3
"Wartburg College","Waverly","IA",2,4,3
"Wartburg Theological Seminary","Dubuque","IA",2,4,4
"The Salon Professional Academy-Cedar Falls","Cedar Falls","IA",3,1,1
"Western Iowa Tech Community College","Sioux City","IA",1,2,1
"William Penn University","Oskaloosa","IA",2,4,3
"Allen County Community College","Iola","KS",1,2,2
"Baker University","Baldwin City","KS",2,4,3
"Barton County Community College","Great Bend","KS",1,2,2
"Benedictine College","Atchison","KS",2,4,3
"Bethany College","Lindsborg","KS",2,3,3
"Bethel College-North Newton","North Newton","KS",2,3,3
"Butler Community College","El Dorado","KS",1,2,2
"Central Christian College of Kansas","McPherson","KS",2,4,3
"Cloud County Community College","Concordia","KS",1,2,1
"Coffeyville Community College","Coffeyville","KS",1,2,2
"Colby Community College","Colby","KS",1,2,1
"Cowley County Community College","Arkansas City","KS",1,2,1
"Dodge City Community College","Dodge City","KS",1,2,2
"Donnelly College","Kansas City","KS",2,3,2
"Emporia State University","Emporia","KS",1,4,3
"Flint Hills Technical College","Emporia","KS",1,2,1
"Fort Hays State University","Hays","KS",1,4,3
"Barclay College","Haviland","KS",2,4,3
"Friends University","Wichita","KS",2,4,3
"Fort Scott Community College","Fort Scott","KS",1,2,1
"Garden City Community College","Garden City","KS",1,2,1
"Haskell Indian Nations University","Lawrence","KS",1,3,2
"Hays Academy of Hair Design","Hays","KS",3,1,1
"Hesston College","Hesston","KS",2,3,2
"Highland Community College","Highland","KS",1,2,1
"Hutchinson Community College","Hutchinson","KS",1,2,2
"Independence Community College","Independence","KS",1,2,2
"Johnson County Community College","Overland Park","KS",1,2,2
"Concorde Career College-Kansas City","Kansas City","MO",3,3,1
"Kansas City Kansas Community College","Kansas City","KS",1,2,1
"Kansas Christian College","Overland Park","KS",2,3,3
"University of Kansas","Lawrence","KS",1,4,3
"Newman University","Wichita","KS",2,4,3
"Old Town Barber College-Wichita","Wichita","KS",3,1,1
"Kansas State University","Manhattan","KS",1,4,3
"Kansas Wesleyan University","Salina","KS",2,4,3
"Washburn Institute of Technology","Topeka","KS",1,1,1
"Labette Community College","Parsons","KS",1,2,2
"Manhattan Area Technical College","Manhattan","KS",1,2,1
"Manhattan Christian College","Manhattan","KS",2,3,3
"McPherson College","McPherson","KS",2,4,3
"MidAmerica Nazarene University","Olathe","KS",2,4,3
"Neosho County Community College","Chanute","KS",1,2,1
"North Central Kansas Technical College","Beloit","KS",1,2,1
"Northwest Kansas Technical College","Goodland","KS",1,2,1
"Ottawa University-Ottawa","Ottawa","KS",2,4,3
"Ottawa University-Kansas City","Overland Park","KS",2,4,3
"Pittsburg State University","Pittsburg","KS",1,4,3
"Pratt Community College","Pratt","KS",1,2,1
"University of Saint Mary","Leavenworth","KS",2,4,3
"Salina Area Technical College","Salina","KS",1,2,1
"Seward County Community College","Liberal","KS",1,2,1
"Southwestern College","Winfield","KS",2,4,3
"Sterling College","Sterling","KS",2,4,3
"Tabor College","Hillsboro","KS",2,4,3
"Washburn University","Topeka","KS",1,4,3
"Wichita State University-Campus of Applied Sciences and Technology","Wichita","KS",1,2,1
"Wichita State University","Wichita","KS",1,4,3
"Wichita Technical Institute","Wichita","KS",3,1,1
"Alice Lloyd College","Pippa Passes","KY",2,3,3
"Asbury University","Wilmore","KY",2,4,3
"Asbury Theological Seminary","Wilmore","KY",2,4,4
"Ashland Community and Technical College","Ashland","KY",1,2,1
"Bellarmine University","Louisville","KY",2,4,3
"Berea College","Berea","KY",2,3,3
"PJ's College of Cosmetology-Bowling Green","Bowling Green","KY",3,1,1
"Southcentral Kentucky Community and Technical College","Bowling Green","KY",1,2,1
"Brescia University","Owensboro","KY",2,4,3
"Campbellsville University","Campbellsville","KY",2,4,3
"Bluegrass Community and Technical College","Lexington","KY",1,2,1
"Centre College","Danville","KY",2,3,3
"Clear Creek Baptist Bible College","Pineville","KY",2,4,3
"Paul Mitchell the School-Lexington","Lexington","KY",3,1,1
"Galen College of Nursing-Louisville","Louisville","KY",3,4,3
"University of the Cumberlands","Williamsburg","KY",2,4,3
"Eastern Kentucky University","Richmond","KY",1,4,3
"Elizabethtown Community and Technical College","Elizabethtown","KY",1,2,1
"Frontier Nursing University","Versailles","KY",2,4,4
"Georgetown College","Georgetown","KY",2,4,3
"PJ's College of Cosmetology-Glasgow","Glasgow","KY",3,1,1
"Hazard Community and Technical College","Hazard","KY",1,2,1
"Paul Mitchell the School-Louisville","Louisville","KY",3,1,1
"Henderson Community College","Henderson","KY",1,2,1
"Hopkinsville Community College","Hopkinsville","KY",1,2,1
"Jefferson Community and Technical College","Louisville","KY",1,2,1
"Summit Salon Academy-Lexington","Lexington","KY",3,1,1
"American National University-Pikeville","Pikeville","KY",3,4,2
"Kentucky Mountain Bible College","Jackson","KY",2,3,3
"Kentucky State University","Frankfort","KY",1,4,3
"Kentucky Wesleyan College","Owensboro","KY",2,3,3
"University of Kentucky","Lexington","KY",1,4,3
"Kentucky Christian University","Grayson","KY",2,4,3
"Lexington Theological Seminary","Lexington","KY",2,4,4
"Lindsey Wilson College","Columbia","KY",2,4,3
"University of Louisville","Louisville","KY",1,4,3
"Louisville Presbyterian Theological Seminary","Louisville","KY",2,4,4
"Madisonville Community College","Madisonville","KY",1,2,1
"Maysville Community and Technical College","Maysville","KY",1,2,1
"Midway University","Midway","KY",2,4,3
"Morehead State University","Morehead","KY",1,4,3
"Murray State University","Murray","KY",1,4,3
"Gateway Community and Technical College","Florence","KY",1,2,1
"Northern Kentucky University","Highland Heights","KY",1,4,3
"West Kentucky Community and Technical College","Paducah","KY",1,2,1
"University of Pikeville","Pikeville","KY",2,4,3
"Big Sandy Community and Technical College","Prestonsburg","KY",1,2,1
"Empire Beauty School-Chenoweth","Louisville","KY",3,1,1
"Empire Beauty School-Elizabethtown","Elizabethtown","KY",3,1,1
"Empire Beauty School-Dixie","Louisville","KY",3,1,1
"Empire Beauty School-Florence","Florence","KY",3,1,1
"Somerset Community College","Somerset","KY",1,2,1
"Southeast Kentucky Community & Technical College","Cumberland","KY",1,2,1
"The Southern Baptist Theological Seminary","Louisville","KY",2,4,3
"Spalding University","Louisville","KY",2,4,3
"Sullivan University","Louisville","KY",3,4,2
"Thomas More University","Crestview Hills","KY",2,4,3
"Transylvania University","Lexington","KY",2,3,3
"Union College","Barbourville","KY",2,4,3
"Western Kentucky University","Bowling Green","KY",1,4,3
"Central Louisiana Technical Community College","Alexandria","LA",1,2,1
"Ayers Career College","Shreveport","LA",3,1,1
"Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology","Baton Rouge","LA",2,1,1
"Bossier Parish Community College","Bossier City","LA",1,2,1
"Centenary College of Louisiana","Shreveport","LA",2,4,3
"Cloyd's Beauty School 1 Inc","West Monroe","LA",3,1,1
"Crescent City Bartending School","New Orleans","LA",3,1,1
"Delgado Community College","New Orleans","LA",1,2,1
"Avery James College","Lake Charles","LA",3,1,1
"Denham Springs Beauty School","Denham Springs","LA",3,1,1
"Dillard University","New Orleans","LA",2,3,3
"Nunez Community College","Chalmette","LA",1,2,1
"Grambling State University","Grambling","LA",1,4,3
"Belbo Beauty Institute","Shreveport","LA",3,1,1
"ITI Technical College","Baton Rouge","LA",3,2,2
"John Jay Beauty College","Kenner","LA",3,1,1
"Louisiana State University Health Sciences Center-New Orleans","New Orleans","LA",1,4,3
"Louisiana State University-Alexandria","Alexandria","LA",1,3,3
"Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",1,4,3
"Louisiana State University-Eunice","Eunice","LA",1,2,2
"Louisiana State University-Shreveport","Shreveport","LA",1,4,3
"Aveda Arts & Sciences Institute-Baton Rouge","Baton Rouge","LA",3,1,1
"Aveda Arts & Sciences Institute-Lafayette","Lafayette","LA",3,1,1
"Louisiana Academy of Beauty","Eunice","LA",3,1,1
"Louisiana Christian University","Pineville","LA",2,4,3
"Opelousas School of Cosmetology","Opelousas","LA",3,1,1
"Louisiana Tech University","Ruston","LA",1,4,3
"Loyola University New Orleans","New Orleans","LA",2,4,3
"McNeese State University","Lake Charles","LA",1,4,3
"University of New Orleans","New Orleans","LA",1,4,3
"New Orleans Baptist Theological Seminary","New Orleans","LA",2,4,1
"Nicholls State University","Thibodaux","LA",1,4,3
"University of Louisiana at Monroe","Monroe","LA",1,4,3
"Northwest Louisiana Technical Community College","Minden","LA",1,2,1
"Northwestern State University of Louisiana","Natchitoches","LA",1,4,3
"University of Holy Cross","New Orleans","LA",2,4,3
"Franciscan Missionaries of Our Lady University","Baton Rouge","LA",2,4,3
"Pat Goins Beauty Schools formerly Paul Mitchell the School-Shreveport","Shreveport","LA",3,1,1
"Celebrity Stylist Beauty School","Monroe","LA",3,1,1
"Pineville Beauty School","Pineville","LA",3,1,1
"Aveda Arts & Sciences Institute-Covington","Covington","LA",3,1,1
"Saint Joseph Seminary College","St. Benedict","LA",2,3,3
"LaSalle Tech","Houma","LA",3,1,1
"Fletcher Technical Community College","Schriever","LA",1,2,1
"Remington College-Lafayette Campus","Lafayette","LA",2,2,1
"SOWELA Technical Community College","Lake Charles","LA",1,2,1
"Stevensons Academy of Hair Design","New Orleans","LA",3,1,1
"Southeastern Louisiana University","Hammond","LA",1,4,3
"Southern University and A & M College","Baton Rouge","LA",1,4,3
"Southern University at New Orleans","New Orleans","LA",1,4,3
"Southern University at Shreveport","Shreveport","LA",1,2,2
"University of Louisiana at Lafayette","Lafayette","LA",1,4,3
"Northshore Technical Community College","Lacombe","LA",1,2,1
"Tulane University of Louisiana","New Orleans","LA",2,4,3
"Xavier University of Louisiana","New Orleans","LA",2,4,3
"College of the Atlantic","Bar Harbor","ME",2,4,3
"Bates College","Lewiston","ME",2,3,3
"Beal University","Bangor","ME",3,4,2
"Bowdoin College","Brunswick","ME",2,3,3
"Maine College of Health Professions","Lewiston","ME",2,3,2
"Central Maine Community College","Auburn","ME",1,2,2
"Colby College","Waterville","ME",2,3,3
"Eastern Maine Community College","Bangor","ME",1,2,2
"Kennebec Valley Community College","Fairfield","ME",1,2,2
"The Landing School","Arundel","ME",2,2,1
"University of Maine at Augusta","Augusta","ME",1,4,3
"University of Maine at Farmington","Farmington","ME",1,4,3
"University of Maine at Fort Kent","Fort Kent","ME",1,3,3
"University of Maine","Orono","ME",1,4,3
"Maine Maritime Academy","Castine","ME",1,4,3
"University of Maine at Presque Isle","Presque Isle","ME",1,4,3
"University of New England","Biddeford","ME",2,4,3
"Northern Maine Community College","Presque Isle","ME",1,2,2
"Empire Beauty School-Maine","Portland","ME",3,1,1
"Maine College of Art & Design","Portland","ME",2,4,3
"Saint Joseph's College of Maine","Standish","ME",2,4,3
"Spa Tech Institute-Westbrook","Westbrook","ME",3,1,1
"Southern Maine Community College","South Portland","ME",1,2,2
"University of Southern Maine","Portland","ME",1,4,3
"Thomas College","Waterville","ME",2,4,3
"Unity Environmental University","New Gloucester","ME",2,4,3
"Washington County Community College","Calais","ME",1,2,1
"Allegany College of Maryland","Cumberland","MD",1,2,2
"Anne Arundel Community College","Arnold","MD",1,2,2
"Award Beauty School","Hagerstown","MD",3,1,1
"Baltimore Studio of Hair Design","Baltimore","MD",3,1,1
"Baltimore City Community College","Baltimore","MD",1,2,2
"University of Baltimore","Baltimore","MD",1,4,3
"Bowie State University","Bowie","MD",1,4,3
"Capitol Technology University","Laurel","MD",2,4,3
"Cecil College","North East","MD",1,2,2
"College of Southern Maryland","La Plata","MD",1,2,2
"Chesapeake College","Wye Mills","MD",1,2,2
"Washington Adventist University","Takoma Park","MD",2,4,3
"Coppin State University","Baltimore","MD",1,4,3
"Del-Mar-Va Beauty Academy","Salisbury","MD",3,1,1
"North American Trade Schools","Baltimore","MD",3,1,1
"Frederick Community College","Frederick","MD",1,2,2
"Frostburg State University","Frostburg","MD",1,4,3
"Garrett College","McHenry","MD",1,2,2
"Goucher College","Baltimore","MD",2,4,3
"Hagerstown Community College","Hagerstown","MD",1,2,2
"Harford Community College","Bel Air","MD",1,2,2
"Hood College","Frederick","MD",2,4,3
"Howard Community College","Columbia","MD",1,2,2
"Aveda Institute-Maryland","Bel Air","MD",3,1,1
"Johns Hopkins University","Baltimore","MD",2,4,3
"Lincoln College of Technology-Columbia","Columbia","MD",3,2,1
"Loyola University Maryland","Baltimore","MD",2,4,3
"University of Maryland Global Campus","Adelphi","MD",1,4,3
"University of Maryland Baltimore","Baltimore","MD",1,4,3
"University of Maryland-Baltimore County","Baltimore","MD",1,4,3
"University of Maryland-College Park","College Park","MD",1,4,3
"Maryland Institute College of Art","Baltimore","MD",2,4,3
"University of Maryland Eastern Shore","Princess Anne","MD",1,4,3
"Fortis Institute-Towson","Towson","MD",3,1,1
"Montgomery Beauty School","Silver Spring","MD",3,1,1
"Montgomery College","Rockville","MD",1,2,2
"Morgan State University","Baltimore","MD",1,4,3
"Mount St. Mary's University","Emmitsburg","MD",2,4,3
"Ner Israel Rabbinical College","Baltimore","MD",2,4,3
"Hair Academy","New Carrollton","MD",3,1,1
"Notre Dame of Maryland University","Baltimore","MD",2,4,3
"Prince George's Community College","Largo","MD",1,2,2
"Maryland Beauty Academy of Essex","Baltimore","MD",3,1,1
"Salisbury University","Salisbury","MD",1,4,3
"St. Mary's College of Maryland","St. Mary's City","MD",1,4,3
"St. John's College","Annapolis","MD",2,4,3
"Towson University","Towson","MD",1,4,3
"Maryland University of Integrative Health","Laurel","MD",2,4,4
"United States Naval Academy","Annapolis","MD",1,3,3
"Stevenson University","Owings Mills","MD",2,4,3
"Washington College","Chestertown","MD",2,3,3
"McDaniel College","Westminster","MD",2,4,3
"Wor-Wic Community College","Salisbury","MD",1,2,2
"Hult International Business School","Cambridge","MA",2,4,3
"American International College","Springfield","MA",2,4,3
"Amherst College","Amherst","MA",2,3,3
"Anna Maria College","Paxton","MA",2,4,3
"Assabet Valley Regional Technical School","Marlborough","MA",1,1,1
"Assumption University","Worcester","MA",2,4,3
"Babson College","Wellesley","MA",2,4,3
"Bancroft School of Massage Therapy","Worcester","MA",3,1,1
"Boston Baptist College","Boston","MA",2,3,3
"Bay Path University","Longmeadow","MA",2,4,3
"Bentley University","Waltham","MA",2,4,3
"Berklee College of Music","Boston","MA",2,4,3
"Berkshire Community College","Pittsfield","MA",1,2,2
"Boston Architectural College","Boston","MA",2,4,1
"Boston Graduate School of Psychoanalysis Inc","Brookline","MA",2,4,4
"Boston College","Chestnut Hill","MA",2,4,3
"Boston University","Boston","MA",2,4,3
"Brandeis University","Waltham","MA",2,4,3
"Bridgewater State University","Bridgewater","MA",1,4,3
"Bristol Community College","Fall River","MA",1,2,2
"Signature Healthcare Brockton Hospital School of Nursing","Brockton","MA",2,1,1
"Bunker Hill Community College","Boston","MA",1,2,2
"Cambridge College","Boston","MA",2,4,3
"Cape Cod Community College","West Barnstable","MA",1,2,2
"Catherine Hinds Institute of Esthetics","Woburn","MA",3,1,1
"Laboure College of Healthcare","Milton","MA",2,3,2
"Clark University","Worcester","MA",2,4,3
"Conway School of Landscape Design","Northampton","MA",2,4,4
"Curry College","Milton","MA",2,4,3
"Dean College","Franklin","MA",2,3,3
"Diman Regional Technical Institute","Fall River","MA",1,1,1
"National Aviation Academy of New England","Concord","MA",3,1,1
"Eastern Nazarene College","Quincy","MA",2,4,3
"Emerson College","Boston","MA",2,4,3
"Emmanuel College","Boston","MA",2,4,3
"Endicott College","Beverly","MA",2,4,3
"Rob Roy Academy-Fall River","Fall River","MA",3,1,1
"Fisher College","Boston","MA",2,4,3
"Fitchburg State University","Fitchburg","MA",1,4,3
"Framingham State University","Framingham","MA",1,4,3
"Benjamin Franklin Cummings Institute of Technology","Boston","MA",2,3,1
"Gordon College","Wenham","MA",2,4,3
"Gordon-Conwell Theological Seminary","South Hamilton","MA",2,4,4
"Greenfield Community College","Greenfield","MA",1,2,2
"Hampshire College","Amherst","MA",2,3,3
"Harvard University","Cambridge","MA",2,4,3
"Hebrew College","Newton","MA",2,4,4
"Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","MA",2,4,3
"College of the Holy Cross","Worcester","MA",2,3,3
"Holyoke Community College","Holyoke","MA",1,2,2
"Lasell University","Newton","MA",2,4,3
"Lawrence Memorial Hospital School of Nursing","Medford","MA",2,2,2
"Lesley University","Cambridge","MA",2,4,3
"Longy School of Music of Bard College","Cambridge","MA",2,4,1
"Lowell Academy Hairstyling Institute","Lowell","MA",3,1,1
