"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"Black River Technical College","Pocahontas","AR",1,2,1
"University of Central Arkansas","Conway","AR",1,4,3
"Central Baptist College","Conway","AR",2,3,3
"Cossatot Community College of the University of Arkansas","De Queen","AR",1,2,1
"Crowley's Ridge College","Paragould","AR",2,3,3
"East Arkansas Community College","Forrest City","AR",1,2,1
"Paul Mitchell the School-Little Rock","North Little Rock","AR",3,1,1
"National Park College","Hot Springs","AR",1,2,1
"University of Arkansas Community College-Batesville","Batesville","AR",1,2,1
"Harding University","Searcy","AR",2,4,3
"Henderson State University","Arkadelphia","AR",1,4,3
"Hendrix College","Conway","AR",2,4,3
"Hot Springs Beauty College","Hot Springs","AR",3,1,1
"Jefferson Regional School of Nursing","Pine Bluff","AR",2,2,2
"John Brown University","Siloam Springs","AR",2,4,3
"Career Academy of Hair Design","Springdale","AR",3,1,1
"Academy of Salon and Spa","Fort Smith","AR",3,1,1
"Arkansas State University Mid-South","West Memphis","AR",1,2,1
"Arkansas Northeastern College","Blytheville","AR",1,2,1
"New Tyler Barber College Inc","North Little Rock","AR",3,1,1
"North Arkansas College","Harrison","AR",1,2,1
"Northwest Technical Institute","Springdale","AR",1,1,1
"Ouachita Baptist University","Arkadelphia","AR",2,4,3
"Arkansas State University Three Rivers","Malvern","AR",1,2,1
"Ozarka College","Melbourne","AR",1,2,1
"University of the Ozarks","Clarksville","AR",2,3,3
"University of Arkansas Community College-Morrilton","Morrilton","AR",1,2,1
"Philander Smith University","Little Rock","AR",2,3,3
"Phillips Community College of the University of Arkansas","Helena","AR",1,2,1
"Southeast Arkansas College","Pine Bluff","AR",1,2,1
"University of Aesthetics & Cosmetology","El Dorado","AR",3,1,1
"University of Arkansas-Pulaski Technical College","North Little Rock","AR",1,2,1
"University of Arkansas Hope-Texarkana","Hope","AR",1,2,1
"University of Arkansas Community College Rich Mountain","Mena","AR",1,2,1
"Paul Mitchell the School-Arkansas","Fayetteville","AR",3,1,1
"Searcy Beauty College","Searcy","AR",3,1,1
"Shorter College","N Little Rock","AR",2,2,2
"Williams Baptist University","Walnut Ridge","AR",2,4,3
"South Arkansas College","El Dorado","AR",1,2,1
"Southern Arkansas University Main Campus","Magnolia","AR",1,4,3
"Southern Arkansas University Tech","Camden","AR",1,2,1
"Velvatex College of Beauty Culture","Little Rock","AR",3,1,1
"University of Arkansas-Fort Smith","Fort Smith","AR",1,4,3
"Academy of Art University","San Francisco","CA",3,4,3
"Academy of Chinese Culture and Health Sciences","Oakland","CA",2,4,4
"College of Alameda","Alameda","CA",1,2,2
"Allan Hancock College","Santa Maria","CA",1,2,2
"American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA",2,2,2
"Berkeley School of Theology","Berkeley","CA",2,4,1
"American Film Institute Conservatory","Los Angeles","CA",2,4,4
"American Beauty College","West Covina","CA",3,1,1
"American Career College-Los Angeles","Los Angeles","CA",3,2,1
"American River College","Sacramento","CA",1,2,2
"Antelope Valley Community College District","Lancaster","CA",1,3,2
"Art Center College of Design","Pasadena","CA",2,4,3
"Associated Technical College-Los Angeles","Los Angeles","CA",3,1,1
"Associated Technical College-San Diego","San Diego","CA",3,1,1
"Azusa Pacific University","Azusa","CA",2,4,3
"Bakersfield College","Bakersfield","CA",1,3,2
"Barstow Community College","Barstow","CA",1,2,2
"Bellus Academy-Chula Vista","Chula Vista","CA",3,1,1
"Bethesda University","Anaheim","CA",2,4,3
"Biola University","La Mirada","CA",2,4,3
"Brownson Technical School","Anaheim","CA",3,1,1
"Bryan University","Tempe","AZ",3,3,1
"Butte College","Oroville","CA",1,2,2
"California Institute of Integral Studies","San Francisco","CA",2,4,3
"Cabrillo College","Aptos","CA",1,2,2
"California Baptist University","Riverside","CA",2,4,3
"California College of the Arts","San Francisco","CA",2,4,3
"University of California College of the Law-San Francisco","San Francisco","CA",1,4,4
"California Institute of Technology","Pasadena","CA",2,4,3
"California Lutheran University","Thousand Oaks","CA",2,4,3
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",1,4,3
"Alliant International University-San Diego","San Diego","CA",3,4,1
"California State University-Bakersfield","Bakersfield","CA",1,4,3
"California State University-Stanislaus","Turlock","CA",1,4,3
"California State University-San Bernardino","San Bernardino","CA",1,4,3
"California State Polytechnic University-Pomona","Pomona","CA",1,4,3
"California State University-Chico","Chico","CA",1,4,3
"California State University-Dominguez Hills","Carson","CA",1,4,3
"California State University-Fresno","Fresno","CA",1,4,3
"California State University-Fullerton","Fullerton","CA",1,4,3
"California State University-East Bay","Hayward","CA",1,4,3
"California State University-Long Beach","Long Beach","CA",1,4,3
"California State University-Los Angeles","Los Angeles","CA",1,4,3
"California State University-Northridge","Northridge","CA",1,4,3
"California State University-Sacramento","Sacramento","CA",1,4,3
"University of California-Berkeley","Berkeley","CA",1,4,3
"University of California-Davis","Davis","CA",1,4,3
"University of California-Irvine","Irvine","CA",1,4,3
"University of California-Los Angeles","Los Angeles","CA",1,4,3
"University of California-Riverside","Riverside","CA",1,4,3
"University of California-San Diego","La Jolla","CA",1,4,3
"University of California-San Francisco","San Francisco","CA",1,4,4
"University of California-Santa Barbara","Santa Barbara","CA",1,4,3
"University of California-Santa Cruz","Santa Cruz","CA",1,4,3
"Sofia University","Palo Alto","CA",3,4,3
"California Beauty School","Modesto","CA",3,1,1
"Haven University","Garden Grove","CA",2,4,4
"California Hair Design Academy","La Mesa","CA",3,1,1
"California Institute of the Arts","Valencia","CA",2,4,3
"California State University Maritime Academy","Vallejo","CA",1,4,3
"California Western School of Law","San Diego","CA",2,4,4
"Canada College","Redwood City","CA",1,2,2
