"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1",2025-08-01,"fairfax","va","George Mason University","4400 university dr.",NA,"demonstration",NA,NA,"in support of George Mason University President; against the Trump administrations DEI policies",100,2025,0,"university",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"2",2025-08-02,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"3",2025-09-01,"auburn","al","Auburn University","100 s college st","Indivisible Auburn/Opelika #WorkersOverBillionaires Labor Day","demonstration",NA,NA,"for stopping the billionaire takeover corrupting the U.S. government; for protecting and defending Medicaid, Social Security, and other programs for working people; for fully funded schools, and healthcare and housing for all; for stopping the attacks on immigrants, Black, indigenous, trans people, and all our communities; for investing in people not wars; against the Trump adminstration's policies",NA,2025,0,"university",NA,"AL",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"4",2025-09-06,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"5",2025-09-22,"las cruces","nm","New Mexico State University-Main Campus","1780 e university ave",NA,"demonstration",NA,NA,"against women's rights; against LGBTQ rights",NA,2025,0,"university",NA,"NM",1,4,"Democratic-State","Public","west","Non-Gaza Related","Arrests"
"6",2025-09-23,"las cruces","nm","New Mexico State University-Main Campus","1780 e university ave",NA,"demonstration",NA,NA,"against women's rights; against LGBTQ rights",NA,2025,0,"university",NA,"NM",1,4,"Democratic-State","Public","west","Non-Gaza Related","Arrests"
"7",2025-09-24,"san marcos","tx","Texas State University","601 university dr","Charlie Kirk Assassination Aftermath","rally; protest","Turning Point USA Texas State chapter; Black TXST; Black Men United","students; conservative supporters","for honoring Charlie Kirk's conservative legacy; for free speech; against the TXST administration's ousting of a student who mimicked Kirk's assassination; for Black students' safety and free speech on campus",24,2025,0,"university",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"8",2025-09-25,"san marcos","tx","Texas State University","601 university dr",NA,"demonstrations",NA,NA,"for free free speech",24,2025,0,"university",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"9",2025-09-29,"tucson","az","University of Arizona","1510 e university blvd",NA,"demonstration",NA,"Starbucks employees","for better pay, hours, and job security for Starbucks employees",NA,2025,0,"university",NA,"AZ",1,4,"Republican-State","Public","west","Non-Gaza Related","Arrests"
"10",2025-10-04,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"11",2025-11-01,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"12",2025-11-05,"manassas","va","George Mason University","4400 university dr",NA,"demonstration","Civic Association of Brentsvillle and Surrounding Areas",NA,"against the development of data centers; against planned high-power transmission lines that would cut through Nokesville and Bristow",150,2025,0,"university",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"13",2025-12-06,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"14",2024-10-07,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"15",2024-10-08,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"16",2024-10-09,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"17",2024-10-10,"turlock","ca","California State University-Stanislaus","california state university stanislaus","A Vigil for Our Martyrs",NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"18",2024-11-01,"turlock","ca","California State University-Stanislaus","california state university stanislaus","Dia de los Muertos",NA,"SJP at Stanislaus State","students","in remembrance of people killed in genocide in Gaza;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"19",2025-09-06,"cambridge","ma","Harvard University","harvard science center plaza",NA,"demonstration","Students For Freedom","students; faculty","for urging Harvard University adminstration to stand against president Trump's demands; for academic freedom",100,2025,0,"student_campus",NA,"MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"20",2025-09-22,"allendae","mi","Grand Valley State University","james h. zumberge hall, 4099 calder dr",NA,"rally; march","Progressive Student Union; Grand Rapids District of Freedom Road Socialist Organization","students","For the university to pass a sanctuary campus policy to protect international students; against the university and the police department cooperating with ICE",22,2025,0,"student_campus",NA,"MI",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"21",2025-09-23,"amherst","ma","University of Massachusetts-Amherst","121 presidents dr","Raytheon Out of UMass","demonsration; protest","Students for Justice in Palestine; UMass Dissenters","students; community members","against Raytheon Technologies and defense contractors due to their alleged role in the humanitarian crisis/genocide in Gaza; against the UMass administration for its complicity and refusal to ban the companies from career fairs; for ceasefire in Gaza; for Palestinian liberation",25,2025,0,"student_campus",NA,"MA",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"22",2025-09-24,"blacksburg","va","Virginia Polytechnic Institute and State University","800 drillfield dr","Hate Has No Home Here","rally","Turning Point USA","students; elected officials","for honoring Charlie Kirk's legacy; for conservative student voices on campus; against academic bias from leftist professors; against hate speech",2000,2025,0,"student_campus",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","Arrests"
"23",2025-10-09,"columbia","oh","University of Missouri-Columbia","409 conley ave, dr. richard h jesse hall",NA,"rally","LiUNA Local 955","community members; students","against UM System President Mun Choi's comments on employment speech",70,2025,0,"student_campus",NA,"MO",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"24",2025-11-13,"tempe","az","Arizona State University Campus Immersion","301 e orange st, memorial union",NA,"protest","UNITE Here Local 11; SJP; Young Democratic Socialists","dining hall workers; students; elected officials","for fair wages; for health care; for pensions; for respect",60,2025,0,"student_campus",NA,"AZ",1,4,"Republican-State","Public","west","Non-Gaza Related","Arrests"
"25",2025-11-19,"orono","me","University of Maine","28 beddington rd, donald p. corbett business hall; mlk plaza",NA,"march","Students for a Democratic Society; Jewish Voices for Peace; UMaine Wilde Stein","students; elected officials","against a speaking event featuring Maine House Rep. Laurel Libby; for transgender rights",100,2025,0,"student_campus",NA,"ME",1,4,"Democratic-State","Public","northeast","Non-Gaza Related","No Arrests"
"26",2025-12-10,"new york","ny","The New School","66 w 12th st",NA,"protest","American Association of University Professors; Student Employees at The New School; Student Health Employees at The New School; Student Health Employees at The New School; The New School Student Workers Union; ACT-UAW Local 7902","students; faculty; staff; alumni","against budget cuts; against faculty cuts/layoffs; against restructuring measures; for suspending restructuring; for rescinding voluntary spearation pakages; for capping salaries over $200,000; for a public meeting with trustees",200,2025,0,"student_campus",NA,"NY",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","Arrests"
"27",2025-12-11,"columbia","mo","University of Missouri-Columbia","speakers circle; city hall",NA,"march","Young Democratic Socialist of America; Stand Up 4 Students","students","against federal overreach; against sharing surveillance data with federal agencies; against Flock Safety surveillance systems; against ""Operation Brightside""; against Mun Choi's involvement in city political/crime sphere; for local control of crime policies; against ICE presence",50,2025,0,"student_campus",NA,"MO",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"28",2024-09-17,"hempfield","pa","University of Pittsburgh-Greensburg","mary lou campana chapel",NA,NA,"Planned Parenthood Pennsylvania Advocates; The Pitt-Greensburg College Democrats","students","for reproductive rights;for abortion access",NA,2024,0,"student_campus",NA,"PA",1,3,"Republican-State","Public","northeast","Non-Gaza Related","No Arrests"
"29",2024-09-20,"ann arbor","mi","University of Michigan-Ann Arbor",NA,NA,NA,NA,"students; alumni","for divesting University of Michigan from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,0,"student_campus",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"30",2024-09-23,"fullerton","ca","California State University-Fullerton","cal state fullerton",NA,NA,"Young Democratic Socialists of America; LatinX Scholars at CSUF","students","for Palestinian liberation;for Cal State Fullterton's divestment from Israel;against genocide in Gaza;for education about historic student strikes at Cal State Fullerton;against the Cal State Fullerton University President's refusal to meet with students about Palestine",11,2024,0,"student_campus",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"31",2024-10-08,"berkeley","ca","University of California-Berkeley","crescent lawn","One Year of the Genocide Bay Area Wide Rally",NA,NA,"students; community members; workers","against genocide in Gaza;for Palestinian liberation",NA,2024,0,"student_campus",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","Arrests"
"32",2024-10-14,"eau claire","wi","University of Wisconsin-Eau Claire","uw-eau claire",NA,NA,"Harris for President","students","for Kamala Harris for U.S. President;for reproductive freedom;for climate action;for investing in education;for voting",75,2024,0,"student_campus",NA,"WI",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"33",2024-10-24,"austin","tx","The University of Texas at Austin","ut austin","Student Rally for Transit",NA,NA,"students","for affordable housing and transit",22,2024,0,"student_campus",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","Arrests"
"34",2024-11-19,"cambridge","ma","Harvard University","harvard square","Tell Harvard: Respect Activists!",NA,"HUCTW Rank & File Movement; Faculty and Staff for Justice in Palestine; Boston Area Brigade of Activist Musicians","rank-and-file union members; community members; students; faculty; staff","against repression of political activism at Harvard University;for freedom of speech;for academic freedom;against genocide in Gaza",25,2024,0,"student_campus",NA,"MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"35",2024-12-11,"san francisco","ca","San Francisco State University","19th avenue and holloway avenue",NA,NA,NA,"faculty; students; lecturers","against SFSU proposed faculty layoffs and budget cuts",150,2024,0,"student_campus",NA,"CA",1,4,"Democratic-State","Public","west","Non-Gaza Related","No Arrests"
"36",2025-10-18,"newark","de","University of Delaware","the north green across from 26 e main","NO KINGS Newark DE","demonstration; march",NA,"elected officials","against President Trump's authoritarian power grabs; against the Trump administration’s deployment of masked federal agents to patrol the streets and terrorize local communities; against targeting immigrant families, profiling, arresting and detaining people without warrants; against threatening to overtake elections; against gutting healthcare, environmental protections, and education when families need them most; against rigging maps to silence voters; against ignoring mass shootings at schools and in communities; against driving up the cost of living while handing out massive giveaways to billionaire allies, as families struggle; against chaos, corruption, and cruelty; against dictatorship; for democracy",6000,2025,0,"geography",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"37",2025-10-18,"notre dame","in","University of Notre Dame",NA,NA,"demonstration",NA,NA,"against President Trump's authoritarian power grabs; against the Trump administration’s deployment of masked federal agents to patrol the streets and terrorize local communities; against targeting immigrant families, profiling, arresting and detaining people without warrants; against threatening to overtake elections; against gutting healthcare, environmental protections, and education when families need them most; against rigging maps to silence voters; against ignoring mass shootings at schools and in communities; against driving up the cost of living while handing out massive giveaways to billionaire allies, as families struggle; against chaos, corruption, and cruelty; against dictatorship; for democracy",15,2025,0,"geography",NA,"IN",2,4,"Republican-State","Private","midwest","Non-Gaza Related","Arrests"
"38",2025-11-04,"college park","md","University of Maryland-College Park","hornbake plaza",NA,"demonstration",NA,NA,"against ICE; for campus sanctuary",NA,2025,0,"geography",NA,"MD",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"39",2025-11-07,"hanover","nh","Dartmouth College","parkhurst hall 14 n main st,","Together We Stand","demonstration","Fossil Free Dartmouth; the Energy Justice Clinic; Student Workers Collective at Dartmouth",NA,"against federal interference in higher education (following the College's rejection of a White House ""higher education compact""); for building  community connections to resist future administration pressure, against policies affecting marginalized communities and international students",75,2025,0,"geography",NA,"NH",2,4,"Republican-State","Private","northeast","Non-Gaza Related","Arrests"
"40",2025-12-01,"storrs","ct","University of Connecticut","homer babbidge library, 369 fairfield way",NA,"demonstration","American Association of University Professors (AAUP)",NA,"against the administration’s handling of free speech and academic freedom; against the ""disproportionate"" removal of protesters in September and October; against the denial of amplified sound/instruments at previous union rallies",12,2025,0,"geography",NA,"CT",1,4,"Democratic-State","Public","northeast","Non-Gaza Related","Arrests"
"41",2024-08-24,"williamsburg","va","William & Mary","duke of gloucester st",NA,NA,NA,"elected officials","in celebration of the 19th Amendment to the U.S. Constitution;for women's rights;for voting rights;for Kamala Harris for U.S. president;for Leslie Mehta for U.S. Congress",100,2024,0,"geography",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"42",2024-10-20,"university park","pa","Pennsylvania State University-Main Campus","beaver stadium","Driving Forward Blue Wall",NA,NA,"elected officials","for Kamala Harris for U.S. president",NA,2024,0,"geography",NA,"PA",1,4,"Republican-State","Public","northeast","Non-Gaza Related","No Arrests"
"43",2025-08-01,"iowa city","ia","University of Iowa","university of iowa","Protest for Palestine","rally; march","Iowans for Palestine",NA,"for Palestinian liberation",NA,2025,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"44",2025-08-02,"leesburg","fl","Lake-Sumter State College","lake sumter state college","Sign Waving Rally with the Greater Leesburg Democratic Club","demonstration","50501 Movement",NA,"against the Trump adminstration's policies; against aggressive immigration enforcement; against weaponization of ICE against immigrant communities; against construction of concentration camps; against attacks on transgender rights; against dismantling of government programs and agencies from Medicaid to the National Weather Service; against attacks on democratic institutions; against covering up the Epstein files",NA,2025,NA,"Chenoweth",NA,"FL",1,3,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"45",2025-08-04,"cambridge","ma","Harvard University","harvard university",NA,"demonstration","Harvard Faculty and Staff for Justice in Palestine","students; faculty","for academic freedom; for free speech; for the release of Mahmoud Khalil, Alireza Dourodi, and Badar Khan Suri; against deportations",NA,2025,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"46",2025-08-04,"medford","ma","Tufts University","tufts university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"47",2025-08-04,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","Arrests"
"48",2025-08-04,"renton","wa","Renton Technical College","renton technical college",NA,"civil disobedience","Workers Strike Back",NA,"for workers rights",9,2025,NA,"Chenoweth","Renton","WA",1,3,"Democratic-State","Public","west","Non-Gaza Related","No Arrests"
"49",2025-08-04,"washington","dc","Georgetown University","georgetown university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Washington","DC",2,4,"Democratic-State","Private","south","Non-Gaza Related","No Arrests"
"50",2025-08-05,"hanover","nh","Dartmouth College","dartmouth college","Study In for Palestine","demonstration","Dartmouth New Deal Coalition","students","for divesting Dartmouth College from Israel; for Palestinian liberation",NA,2025,NA,"Chenoweth","Hanover","NH",2,4,"Republican-State","Private","northeast","Gaza Related","Arrests"
"51",2025-08-08,"iowa city","ia","University of Iowa","university of iowa","Protest for Palestine","rally; march","Iowans for Palestine",NA,"for Palestinian liberation",NA,2025,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"52",2025-08-11,"cambridge","ma","Harvard University","harvard university",NA,"demonstration","Harvard Faculty and Staff for Justice in Palestine","students; faculty","for academic freedom; for free speech; for the release of Mahmoud Khalil, Alireza Dourodi, and Badar Khan Suri; against deportations",NA,2025,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"53",2025-08-11,"medford","ma","Tufts University","tufts university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"54",2025-08-11,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","Arrests"
"55",2025-08-11,"washington","dc","Georgetown University","georgetown university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Washington","DC",2,4,"Democratic-State","Private","south","Non-Gaza Related","No Arrests"
"56",2025-08-12,"ames","ia","Iowa State University","iowa state university",NA,"protest",NA,NA,"against Senator Joni Ernst's visit to Iowa State University; against the Trump administration; for democracy",NA,2025,NA,"Chenoweth","Ames","IA",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"57",2025-08-12,"hanover","nh","Dartmouth College","dartmouth college","Study In for Palestine","demonstration","Dartmouth New Deal Coalition","students","for divesting Dartmouth College from Israel; for Palestinian liberation",NA,2025,NA,"Chenoweth","Hanover","NH",2,4,"Republican-State","Private","northeast","Gaza Related","Arrests"
"58",2025-08-14,"burlington","vt","University of Vermont","university of vermont, waterman building",NA,"protest","UVM Staff United; United Academics; United Electrical",NA,"against security concerns of third-party insurance company",24,2025,NA,"Chenoweth",NA,"VT",1,4,"Democratic-State","Public","northeast","Non-Gaza Related","No Arrests"
"59",2025-08-15,"iowa city","ia","University of Iowa","university of iowa","Protest for Palestine","rally; march","Iowans for Palestine",NA,"for Palestinian liberation",NA,2025,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"60",2025-08-18,"cambridge","ma","Harvard University","harvard university",NA,"demonstration","Harvard Faculty and Staff for Justice in Palestine","students; faculty","for academic freedom; for free speech; for the release of Mahmoud Khalil, Alireza Dourodi, and Badar Khan Suri; against deportations",NA,2025,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"61",2025-08-18,"medford","ma","Tufts University","tufts university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"62",2025-08-18,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","Arrests"
"63",2025-08-18,"washington","dc","Georgetown University","georgetown university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Washington","DC",2,4,"Democratic-State","Private","south","Non-Gaza Related","No Arrests"
"64",2025-08-19,"hanover","nh","Dartmouth College","dartmouth college","Study In for Palestine","demonstration","Dartmouth New Deal Coalition","students","for divesting Dartmouth College from Israel; for Palestinian liberation",NA,2025,NA,"Chenoweth","Hanover","NH",2,4,"Republican-State","Private","northeast","Gaza Related","Arrests"
"65",2025-08-20,"minneapolis","mn","University of Minnesota-Twin Cities","university of minnesota",NA,NA,"Educators for Justice in Palestine",NA,"for Palestinian liberation; for the University of Minnesota's divestment from Israel and companies supporting Israel; against the University's union-busting efforts",12,2025,NA,"Chenoweth",NA,"MN",1,4,"Democratic-State","Public","midwest","Gaza Related","Arrests"
"66",2025-08-22,"iowa city","ia","University of Iowa","university of iowa","Protest for Palestine","rally; march","Iowans for Palestine",NA,"for Palestinian liberation",NA,2025,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"67",2025-08-22,"muncie","in","Ball State University","ball state university",NA,"protest","United Front",NA,"against past actions of Ball State University Police Officer Michael Conner",NA,2025,NA,"Chenoweth","Muncie","IN",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"68",2025-08-24,"allendale","mi","Grand Valley State University","grand valley state university",NA,"protest","Progressive Student Union","students","against President Trump's ongoing abuse of power and violation of constitutional rights; against ICE kidnappings and the illegal detainment and deportation of immigrants without due process; against cuts to funding for education and universities; for free speech; for democracy; against genocide in Gaza; for Palestinian liberation;",35,2025,NA,"Chenoweth","Allendale","MI",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"69",2025-08-24,"tucson","az","University of Arizona","1200 e university blvd",NA,"demonstration","Tucson Anti-War Committee (TAWC)",NA,"for Palestinian liberation; Against Israel’s impending ground invasion of Gaza City and U.S. military support",12,2025,NA,"Chenoweth",NA,"AZ",1,4,"Republican-State","Public","west","Gaza Related","Arrests"
"70",2025-08-25,"cambridge","ma","Harvard University","harvard university",NA,"demonstration","Harvard Faculty and Staff for Justice in Palestine","students; faculty","for academic freedom; for free speech; for the release of Mahmoud Khalil, Alireza Dourodi, and Badar Khan Suri; against deportations",NA,2025,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"71",2025-08-25,"medford","ma","Tufts University","tufts university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"72",2025-08-25,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","Arrests"
"73",2025-08-25,"washington","dc","Georgetown University","georgetown university",NA,"demonstration",NA,"faculty","for the release of students abducted by the Trump adminstration including Mahmoud Khalil, Badar Khan Suri, and Rumeysa Ozturk; against deportations; against ICE",NA,2025,NA,"Chenoweth","Washington","DC",2,4,"Democratic-State","Private","south","Non-Gaza Related","No Arrests"
"74",2025-08-26,"hanover","nh","Dartmouth College","dartmouth college","Study In for Palestine","demonstration","Dartmouth New Deal Coalition","students","for divesting Dartmouth College from Israel; for Palestinian liberation",NA,2025,NA,"Chenoweth","Hanover","NH",2,4,"Republican-State","Private","northeast","Gaza Related","Arrests"
"75",2025-08-27,"amherst","ma","University of Massachusetts-Amherst","university of massachusetts amherst",NA,"march; protest","UMass Professional Staff Union","UMass staff","for fair wages; against low pay from UMass; against unfair working conditions; against underinvestment on the campus; for labor rights",200,2025,NA,"Chenoweth",NA,"MA",1,4,"Democratic-State","Public","northeast","Non-Gaza Related","Arrests"
"76",2025-08-27,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan",NA,"rally; demonstration","Tahrir Coalition","elected officials; U Michigan students","against U Michigan firing Eaman Ali for pro-Palestine protests; in solidarity with pro-Palestine activists; for activism; for Palestine liberation; for U Michigan divesting its endowment holdings in companies linked to Israel",30,2025,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"77",2025-08-27,"athens","ga","University of Georgia","university of georgia","Fight Fascism","rally","Young Democrats of UGA; ACC",NA,"against President Trump adminstration",25,2025,NA,"Chenoweth","Athens","GA",1,4,"Republican-State","Public","south","Non-Gaza Related","Arrests"
"78",2025-08-27,"jacksonville","fl","University of North Florida","university of north florida",NA,"demonstration","Jacksonville Students for a Democratic Society",NA,"against the University of North Florida's police department joining an ICE task force; against ICE deportations; for immigrant rights",12,2025,NA,"Chenoweth","Jacksonville","FL",1,4,"Republican-State","Public","south","Non-Gaza Related","Arrests"
"79",2025-08-27,"kent","oh","Kent State University at Kent","kent state university",NA,"march; protest","Ohio Student Association","Kate State University students","against closing LGBTQ+ Center, Women's Center and Multicultural Center; for DEI; for LGBTQ rights; against Senate Bill 1",75,2025,NA,"Chenoweth",NA,"OH",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"80",2025-08-27,"lawrence","ks","University of Kansas","university of kansas",NA,"demonstration; march","United Academics of KU","University of Kansas faculty union members","for labor rights; for new contracts with KU; against KU delaying the negotiation with the union; for fair wages",100,2025,NA,"Chenoweth","Lawrence","KS",1,4,"Republican-State","Public","midwest","Non-Gaza Related","Arrests"
"81",2025-08-28,"ithaca","ny","Cornell College","cornell college","Take Back Our University","rally","Cornell American Association fo University Professors; Cornell Collective for Justice in Palestine; Cornell Graduate Students United; Cornell on Fire",NA,"for Palestinian liberation; against Trump administration's policies",125,2025,NA,"Chenoweth","Mount Vernon","IA",2,4,"Democratic-State","Private","midwest","Gaza Related","No Arrests"
"82",2025-08-28,"ithaca","ny","Cornell College","cornell college","Take Back Our University","counter-protest",NA,NA,"against Take Back Our University protesters",10,2025,NA,"Chenoweth","Mount Vernon","IA",2,4,"Democratic-State","Private","midwest","Non-Gaza Related","No Arrests"
"83",2025-08-28,"ithaca","ny","Ithaca College","ithaca college",NA,"rally","Ithaca College Students for a Free Palestine",NA,"against cancellation of Policy Breakfast featuring local, state, and federal members of government; for Palestinian liberation",10,2025,NA,"Chenoweth","Ithaca","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"84",2025-08-28,"new york","ny","Ithaca College","ithica college",NA,"demonstration","Ithica college students for a free palestine",NA,"for Palestinian liberation; for ceasefire in Gaza; for ending U.S. aid to Israel; against genocide in Gaza",NA,2025,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
