"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1732",2024-12-05,"oberlin","oh","Oberlin College","oberlin college",NA,NA,NA,"autonomous group of students","for divesting Oberlin College from Israel;against genocide in Gaza;for Palestinian liberation",50,2024,NA,"Chenoweth","Oberlin","OH",2,4,"Republican-State","Private","midwest","Gaza Related","No Arrests"
"1733",2024-12-05,"norman","ok","University of Oklahoma-Norman Campus","university of oklahoma","Study-In for Palestine",NA,"OU SJP","students","for divesting University of Oklahoma from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"OK",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"1734",2024-12-05,"eugene","or","University of Oregon","university of oregon",NA,NA,"United Academics; Graduate Teaching Fellows Federation; UO Student Workers Union",NA,"for a new contract with the University of Oregon administration before their last bargaining session",100,2024,NA,"Chenoweth","Eugene","OR",1,4,"Democratic-State","Public","west","Non-Gaza Related","No Arrests"
"1735",2024-12-05,"pittsburgh","pa","University of Pittsburgh-Pittsburgh Campus","university of pittsburgh",NA,NA,"SJP at Pitt; Pitt Divest from Apartheid; Pittsburgh Palestine Coalition",NA,"for divesting university of Pittsburgh from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"PA",1,4,"Republican-State","Public","northeast","Gaza Related","Arrests"
"1736",2024-12-05,"providence","ri","Brown University","brown university","We Will Honor All Our Martyrs!",NA,"Brown SJP","students","in honor of people killed in Palestine;for Palestinian liberation",NA,2024,NA,"Chenoweth","Providence","RI",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1737",2024-12-05,"richardson","tx","The University of Texas at Dallas","university of texas at dallas",NA,NA,"SJP at UT Dallas","students","against recruitment of University of Texas at Dallas engineering students for jobs with weapons manufacturers;for divesting University of Texas from Israel;against genocide in Gaza;for Palestinian liberation",18,2024,NA,"Chenoweth",NA,"TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"1738",2024-12-05,"madison","wi","University of Wisconsin-Madison","university of wisconsin madison","No Divestment, No Peace",NA,"SJP UW Madison; UWM Popular University for Palestine; FRSO Wisconsin; Wisconsin Coalition for Justice in Palestine; CODEPINK; YDSA; FRSO; SDS","students; community members","for divesting University of Wisconsin from Israel;against genocide in Gaza;for Palestinian liberation",50,2024,NA,"Chenoweth",NA,"WI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
"1739",2024-12-06,"stanford","ca","Stanford University","stanford university","Study In for Gaza",NA,"Stanford Against Apartheid in Palestine; JVP Stanford; Stanford Medical Community for Palestine; Stanford FSJP; Stanford Asian American Action Committee; Stanford SJP","students","for divesting Stanford University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Stanford","CA",2,4,"Democratic-State","Private","west","Gaza Related","Arrests"
"1740",2024-12-06,"iowa city","ia","University of Iowa","university of iowa","Ceasefire Now Rally",NA,"Iowans for Palestine",NA,"for ceasefire in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Iowa City","IA",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"1741",2024-12-06,"bloomington","in","Indiana University-Bloomington","indiana university","Pam, Bye!",NA,"Indiana Graduate Workers Coalition-UE","staff; graduate student workers","for resignation or firing of Indiana University president Pamela Whitten;against union busting;for collective bargaining rights for campus workers;against repression of free expression on campus",75,2024,NA,"Chenoweth",NA,"IN",1,4,"Republican-State","Public","midwest","Non-Gaza Related","Arrests"
